spotify:track:2kAIpGWnlFLQh48iut6Zzq,Free Spirit,Old Current 3,Khalid,Free Spirit,61,0.446,-9.477,0.0332,0.308,0.00077,0.111,0.11,139.994,182080
spotify:track:6Vgtvd7I5yopJdBuxqjBd2,Your Man,Old Current 3,Joji,Nectar,59,0.818,-8.711,0.099,0.624,0.149,0.149,0.0503,117.98,163759
spotify:track:7xbWAw3LMgRMn4omR5yVn3,Lose Somebody,Old Current 3,Kygo,Lose Somebody,68,0.586,-6.883,0.0357,0.344,0,0.0755,0.507,147.988,199549
spotify:track:4ZTTUAjJCd4NMZmIU7RB4c,Midnight (feat. Liam Payne),Old Current 3,Alesso,Midnight (feat. Liam Payne),62,0.648,-6.927,0.0439,0.0561,0,0.115,0.281,144.028,220141
spotify:track:31qCy5ZaophVA81wtlwLc4,Anyone,Old Current 3,Justin Bieber,Anyone,74,0.538,-8.026,0.0345,0.181,3.13e-06,0.113,0.584,115.884,190779
spotify:track:7rpNuuoMbid56XkDsx2FjE,Black And White,Old Current 3,Niall Horan,Heartbreak Weather,70,0.582,-6.02,0.0482,0.0301,0,0.127,0.239,147.589,193090
spotify:track:5g7rJvWYVrloJZwKiShqlS,Dirty Paws,Old Current 3,Of Monsters and Men,My Head Is An Animal,71,0.649,-7.06,0.0349,0.107,0.0124,0.0555,0.133,111.709,278373
spotify:track:5HF5PRNJ8KGtbzNPPc93tG,King And Lionheart,Old Current 3,Of Monsters and Men,My Head Is An Animal,53,0.655,-6.516,0.0393,0.104,0.00347,0.124,0.289,126.593,273853
spotify:track:66qlqxhEMpSHOzjRK4il0b,Castle on the Hill,Old Current 3,Ed Sheeran,Castle on the Hill,60,0.834,-4.868,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154
spotify:track:7qvxFz3JodM0A7xEM7k3YD,Chained To The Rhythm,Old Current 3,Katy Perry,Witness (Deluxe),71,0.8,-5.404,0.112,0.0814,0,0.199,0.471,95.029,237733
spotify:track:2lwwrWVKdf3LR9lbbhnr6R,Float On,Old Current 3,Modest Mouse,Good News For People Who Love Bad News,76,0.888,-4.807,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,208467
spotify:track:0hm8rgOY17z7kQJlqGKbu7,I Will Wait,Old Current 3,Mumford & Sons,Babel (Deluxe Version),8,0.756,-5.399,0.0333,0.00993,0.00704,0.312,0.447,131.127,276720
spotify:track:7qboJUKZAFSsxa9rMRO2L7,I Will Wait,Old Current 3,Gavin Mikhail,Let Her Go (Passenger Covers, Etc),15,0.434,-7.18,0.0332,0.962,0.000983,0.117,0.227,132.923,283076
spotify:track:1zi7xx7UVEFkmKfv06H8x0,One Dance,Old Current 3,Drake,Views,88,0.625,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987
spotify:track:3Gri5flAMOtJrq6u92WMWL,Haul - Max Cooper Remix,Old Current 3,Christian Löffler,Mare Reworks,33,0.675,-10.472,0.0317,0.574,0.919,0.097,0.0378,118.02,435263
spotify:track:0afhq8XCExXpqazXczTSve,Galway Girl,Old Current 3,Ed Sheeran,÷ (Deluxe),81,0.876,-3.374,0.1,0.0735,0,0.327,0.781,99.943,170827
spotify:track:5A1nu0eMw2FMkqJnpJKlZr,Pretty Little Liar (Instrumental Version),Old Current 3,Candelion,Pretty Little Liar,34,0.271,-18.197,0.0309,0.941,0.892,0.126,0.53,78.006,178279
spotify:track:4WmVPWe7emICePIwixeowe,Hate Being Away from You,Old Current 3,Candelion,Hate Being Away From U,44,0.269,-9.716,0.045,0.875,0,0.244,0.447,127.675,180271
